geometry_id,volume_id,layer_id,surface_id,type_loc0,nbins_loc0,min_loc0,max_loc0,type_loc1,nbins_loc1,min_loc1,max_loc1
504403295704449024,7,2,0,3,2,30,176.200348,4,92,-3.14159274,3.14159274
504403433143402496,7,4,0,3,2,30,176.200348,4,92,-3.14159274,3.14159274
504403570582355968,7,6,0,3,2,30,176.200348,4,92,-3.14159274,3.14159274
504403708021309440,7,8,0,3,2,30,176.200348,4,92,-3.14159274,3.14159274
504403845460262912,7,10,0,3,2,30,176.200348,4,92,-3.14159274,3.14159274
504403982899216384,7,12,0,3,2,30,176.200348,4,92,-3.14159274,3.14159274
504404120338169856,7,14,0,3,2,30,176.200348,4,92,-3.14159274,3.14159274
576460889742376960,8,2,0,4,16,-3.14159274,3.14159274,2,14,-491,491
576461027181330432,8,4,0,4,32,-3.14159274,3.14159274,2,14,-491,491
576461164620283904,8,6,0,4,52,-3.14159274,3.14159274,2,14,-491,491
576461302059237376,8,8,0,4,78,-3.14159274,3.14159274,2,14,-491,491
648518483780304896,9,2,0,3,2,30,176.200348,4,92,-3.14159274,3.14159274
648518621219258368,9,4,0,3,2,30,176.200348,4,92,-3.14159274,3.14159274
648518758658211840,9,6,0,3,2,30,176.200348,4,92,-3.14159274,3.14159274
648518896097165312,9,8,0,3,2,30,176.200348,4,92,-3.14159274,3.14159274
648519033536118784,9,10,0,3,2,30,176.200348,4,92,-3.14159274,3.14159274
648519170975072256,9,12,0,3,2,30,176.200348,4,92,-3.14159274,3.14159274
648519308414025728,9,14,0,3,2,30,176.200348,4,92,-3.14159274,3.14159274
864691265894088704,12,2,0,3,3,240,701.141907,4,125,-3.14159274,3.14159274
864691403333042176,12,4,0,3,3,240,701.141907,4,125,-3.14159274,3.14159274
864691540771995648,12,6,0,3,3,240,701.141907,4,125,-3.14159274,3.14159274
864691678210949120,12,8,0,3,3,240,701.141907,4,125,-3.14159274,3.14159274
864691815649902592,12,10,0,3,3,240,701.141907,4,125,-3.14159274,3.14159274
864691953088856064,12,12,0,3,3,240,701.141907,4,125,-3.14159274,3.14159274
936748859932016640,13,2,0,4,40,-3.14159274,3.14159274,2,21,-1084,1084
936748997370970112,13,4,0,4,56,-3.14159274,3.14159274,2,21,-1084,1084
936749134809923584,13,6,0,4,78,-3.14159274,3.14159274,2,21,-1084,1084
936749272248877056,13,8,0,4,102,-3.14159274,3.14159274,2,21,-1084,1084
1008806453969944576,14,2,0,3,3,240,701.141907,4,125,-3.14159274,3.14159274
1008806591408898048,14,4,0,3,3,240,701.141907,4,125,-3.14159274,3.14159274
1008806728847851520,14,6,0,3,3,240,701.141907,4,125,-3.14159274,3.14159274
1008806866286804992,14,8,0,3,3,240,701.141907,4,125,-3.14159274,3.14159274
1008807003725758464,14,10,0,3,3,240,701.141907,4,125,-3.14159274,3.14159274
1008807141164711936,14,12,0,3,3,240,701.141907,4,125,-3.14159274,3.14159274
1152921642045800448,16,2,0,3,2,750,1022.53802,4,86,-3.14159274,3.14159274
1152921779484753920,16,4,0,3,2,750,1022.53802,4,86,-3.14159274,3.14159274
1152921916923707392,16,6,0,3,2,750,1022.53802,4,86,-3.14159274,3.14159274
1152922054362660864,16,8,0,3,2,750,1022.53802,4,86,-3.14159274,3.14159274
1152922191801614336,16,10,0,3,2,750,1022.53802,4,86,-3.14159274,3.14159274
1152922329240567808,16,12,0,3,2,750,1022.53802,4,86,-3.14159274,3.14159274
1224979236083728384,17,2,0,4,120,-3.14159274,3.14159274,2,21,-1084,1084
1224979373522681856,17,4,0,4,152,-3.14159274,3.14159274,2,21,-1084,1084
1297036830121656320,18,2,0,3,2,750,1022.53802,4,86,-3.14159274,3.14159274
1297036967560609792,18,4,0,3,2,750,1022.53802,4,86,-3.14159274,3.14159274
1297037104999563264,18,6,0,3,2,750,1022.53802,4,86,-3.14159274,3.14159274
1297037242438516736,18,8,0,3,2,750,1022.53802,4,86,-3.14159274,3.14159274
1297037379877470208,18,10,0,3,2,750,1022.53802,4,86,-3.14159274,3.14159274
1297037517316423680,18,12,0,3,2,750,1022.53802,4,86,-3.14159274,3.14159274
